what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.clientadapter,1.5.0,"org.tigris.subversion.clientadapter",1369583352284
started,bundle,org.tigris.subversion.subclipse.core,1.4.0,"org.tigris.subversion.subclipse.core",1369583352284
started,bundle,org.tigris.subversion.subclipse.ui,1.4.0,"org.tigris.subversion.subclipse.ui",1369583352285
os,sysinfo,,,"win32",1369583352293
arch,sysinfo,,,"x86",1369583352293
ws,sysinfo,,,"win32",1369583352293
locale,sysinfo,,,"ru_RU",1369583352293
processors,sysinfo,,,"2",1369583352293
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1369583352294
java.runtime.version,sysinfo,,,"1.6.0_12-b04",1369583352294
java.specification.name,sysinfo,,,"Java Platform API Specification",1369583352294
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1369583352294
java.specification.version,sysinfo,,,"1.6",1369583352294
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1369583352294
java.version,sysinfo,,,"1.6.0_12",1369583352294
java.vm.info,sysinfo,,,"mixed mode",1369583352294
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1369583352294
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1369583352294
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1369583352294
java.vm.specification.version,sysinfo,,,"1.0",1369583352294
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1369583352294
java.vm.version,sysinfo,,,"11.2-b01",1369583352294
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1369583352359
started,bundle,org.eclipse.mylyn.commons.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.commons.ui",1369583352417
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1369583352549
